Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Knowledge of the Mythlords,2022-01-19,224202,5605.05,"Mythical Beast Master Cerberus, Endymion, the Mighty Master of Magic, Mythical Beast Jackal King, Selene, Queen of the Master Magicians, Reflection of Endymion, Endymion, the Master Magician, Servant of Endymion, Day-Breaker the Shining Magical Warrior, Artemis, the Magistus Moon Maiden, Endymion's Lab, Magical Citadel of Endymion, Spell Power Mastery",,
Exquisite Jet-Black Rose,2022-01-19,225500,5637.5,"Ruddy Rose Dragon, Black Rose Dragon, Black Rose Moonlight Dragon, Crossrose Dragon, Queen Angel of Roses, Garden Rose Flora, Garden Rose Maiden, Rose Lover, Basal Rose Shoot, Black Garden, Frozen Rose, Rose Bell of Revelation",,
Fiendish Encounter,2022-01-19,230722,6408.944444444444,"Beatrice, Lady of the Eternal, Dante, Traveler of the Burning Abyss, Cherubini, Ebon Angel of the Burning Abyss, Magical Musketeer Max, Dante, Pilgrim of the Burning Abyss, Magical Musket Mastermind Zakiel, Magical Musketeer Starfire, Farfa, Malebranche of the Burning Abyss, Graff, Malebranche of the Burning Abyss, Magical Musketeer Caspar, Scarm, Malebranche of the Burning Abyss, Magical Musket - Cross-Domination",,
Magnificence of Angels,2022-01-19,232317,6113.605263157895,"Valkyrie Sigrun, Archlord Kristya, Honest, Ride of the Valkyries, Splendid Venus, Valkyrie Erda, Athena, Hecatrice, Valkyrie Dritte, Valkyrie Sechste, Mischief of the Time Goddess, Valhalla, Hall of the Fallen, Angel Statue - Azurune",,
Nebula Cyclone,2022-01-19,232854,5821.35,"Galaxy-Eyes Full Armor Photon Dragon, Number 38: Hope Harbinger Dragon Titanic Galaxy, Number 62: Galaxy-Eyes Prime Photon Dragon, Number 90: Galaxy-Eyes Photon Lord, Galaxy-Eyes Solflare Dragon, Galaxy-Eyes Afterglow Dragon, Galaxy-Eyes Photon Dragon, Neo Galaxy-Eyes Photon Dragon, Galaxy Soldier, Galaxy Wizard, Photon Orbital, Starliege Photon Blast Dragon, Photon Sanctuary",,
Supernatural Elements,2022-01-19,233676,5841.9,"Ehther the Heavenly Monarch, Erebus the Underworld Monarch, Domain of the True Monarchs, Palace of the Elemental Lords, Caius the Mega Monarch, Grandsoil the Elemental Lord, Moulinglacia the Elemental Lord, Zaborg the Mega Monarch, Elementsaber Lapauila Mana, Pantheism of the Monarchs, Tenacity of the Monarchs, The Monarchs Stormforth",,
Futuristic Creatures,2022-01-19,234108,6002.7692307692305,"T.G. Glaive Blaster, T.G. Halberd Cannon/Assault Mode, Shooting Star Dragon T.G. EX, T.G. Hyper Librarian, T.G. Rocket Salamander, T.G. Halberd Cannon, T.G. Blade Blaster, T.G. Over Dragonar, T.G. Wonder Magician, T.G. Warwolf, T.G. Mighty Striker, T.G. Striker, T.G. Trident Launcher, T.G. Limiter Removal, T.G. Close",,
Colossal Mech,2022-01-19,234896,5872.4,"Number 15: Gimmick Puppet Giant Grinder, Number 88: Gimmick Puppet of Leo, Gimmick Puppet Chimera Doll, Rank-Up-Magic Argent Chaos Force, Number 9: Dyson Sphere, Number C15: Gimmick Puppet Giant Hunter, Number C40: Gimmick Puppet of Dark Strings, Number C88: Gimmick Puppet Disaster Leo, Gimmick Puppet Bisque Doll, Number 40: Gimmick Puppet of Strings, Gimmick Puppet Gigantes Doll, Amphibious Swarmship Amblowhale, Marshalling Field",,
Celestial Dragon and Bear,2022-01-19,234994,7833.133333333333,"Drytron Meteonis Draconids, Ursarctic Septentrion, Drytron Mu Beta Fafnir, Meteonis Drytron, Drytron Meteonis Quadrantids, Ursarctic Grand Chariot, Ursarctic Mikpolar, Drytron Alpha Thuban, Ursarctic Polari, Sacred Sword of Seven Stars, Ursarctic Departure",,
Pyroxene Relinquished,2022-01-19,235015,6026.025641025641,"Gem-Knight Lady Brilliant Diamond, Gem-Knight Master Diamond, Adamancipator Risen - Dragite, Brilliant Fusion, Gem-Knight Citrine, Gem-Knight Prismaura, Adamancipator Risen - Leonite, Adamancipator Risen - Raptite, Gem-Knight Seraphinite, Adamancipator Researcher, Gem-Knight Phantom Quartz, Adamancipator Signs",,
Vessels of Freedom,2022-01-19,236559,7392.46875,"Rafale, Champion Fur Hire, Folgo, Justice Fur Hire, Blackbeard, the Plunder Patroll Captain, Plunder Patroll Shipyarrrd, Plunder Patrollship Brann, Plunder Patrollship Lys, Wiz, Sage Fur Hire, Dyna, Hero Fur Hire, Plunder Patrollship Moerk, Beat, Bladesman Fur Hire",,
Darkest Magics,2022-01-19,237116,5645.619047619048,"Dark Magician the Knight of Dragon Magic, The Dark Magicians, Dark Magician, Palladium Oracle Mahad, Magicians' Souls, Soul Servant, Dark Cavalry, Dark Magician the Dragon Knight, Apprentice Illusion Magician, Dark Magician Girl, Dark Magical Circle, Magician's Salvation, Piercing the Darkness, The Eye of Timaeus, Destined Rivals",,
Impending Assassination,2022-01-19,237445,5936.125,"Meklord Astro Mekanikle, Meklord Astro Dragon Triskelion, Sandaion, the Timelord, Sephylon, the Ultimate Timelord, Timelord Progenitor Vorpgate, Meklord Emperor Granel, Meklord Emperor Skiel, Meklord Emperor Wisel, Meklord Emperor Wisel - Synchro Absorption, Meklord Nucleus Infinity Core, Time Maiden, Meklord Fortress",,
Moonlit Avian Dance,2022-01-19,237625,6988.970588235294,"Lunalight Leo Dancer, Lunalight Sabre Dancer, Lyrilusc - Ensemblue Robin, Lyrilusc - Recital Starling, Lunalight Panther Dancer, Lunalight Tiger, Lyrilusc - Assembled Nightingale, Lyrilusc - Celestine Wagtail, Lyrilusc - Independent Nightingale, Lyrilusc - Promenade Thrush, Lunalight Fusion, Lyrilusc - Bird Call",,
Immovable Samurai,2022-01-19,240323,6008.075,"Superheavy Samurai Steam Train King, Superheavy Samurai Warlord Susanowo, Superheavy Samurai Beast Kyubi, Superheavy Samurai Swordmaster Musashi, Superheavy Samurai Big Benkei, Superheavy Samurai Stealth Ninja, Superheavy Samurai Ogre Shutendoji, Superheavy Samurai Wagon, Superheavy Samurai Battleball, Superheavy Samurai Scarecrow, Superheavy Samurai Ninja Sarutobi, Superheavy Samurai Scales",,
Shrouded Heroes,2022-01-19,241111,5740.738095238095,"Destiny HERO - Dominance, Destiny HERO - Destroyer Phoenix Enforcer, Destiny HERO - Plasma, Vision HERO Trinity, Vision HERO Faris, Vision HERO Vyon, Destiny End Dragoon, Destiny HERO - Dogma, Destiny HERO - Dystopia, Vision HERO Adoration, Destiny HERO - Dangerous, Destiny HERO - Malicious, Xtra HERO Cross Crusader, D - Force, Destiny Draw, Break the Destiny",,
Life Finds a Way,2022-01-19,241713,6042.825,"Myutant Ultimus, Myutant Synthesis, Evolzar Dolkka, Evolzar Laggia, Myutant Arsenal, Myutant Beast, Evolzar Solda, Evolsaur Cerato, Myutant M-05, Evo-Diversity, Evo-Force, Evo-Singularity",,
Fiendish Playthings,2022-01-19,242812,6225.948717948718,"Frightfur Chimera, Frightfur Kraken, Frightfur Bear, Frightfur Tiger, Dangerous Frightfur Nightmary, Frightfur Cruel Whale, Frightfur Daredevil, Frightfur Sabre-Tooth, Frightfur Leo, Frightfur Wolf, Frightfur Fusion, Frightfur Patchwork",,
Advanced Warriors,2022-01-19,243561,6089.025,"Dinoster Power, the Mighty Dracoslayer, Ignister Prominence, the Blasting Dracoslayer, Master Peace, the True Dracoslayer, Majester Paladin, the Ascending Dracoslayer, Amorphage Goliath, Amorphactor Pain, the Imagination Dracoverlord, Igknight Champion, Dinomist Rex, Luster Pendulum, the Dracoslayer, Draco Face-Off, Igknights Unite, Dinomists Howling",,
Rulers of the Deep,2022-01-19,245663,6141.575,"White Aura Bihamut, Deep Sea Prima Donna, Superancient Deepsea King Coelacanth, The Legendary Fisherman III, White Aura Whale, Citadel Whale, Deep Sea Repetiteur, Deep Sea Diva, Beautunaful Princess, Deep Sea Aria, Fury of Kairyu-Shin, White Howling",,
Abyssal Underworld,2022-01-19,245680,6142.0,"Doomking Balerdroch, Uni-Zombie, Avendread Savior, Zombie World, Revendread Executor, Vendread Battlelord, Vendread Chimera, Necroworld Banshee, Glow-Up Bloom, King of the Skull Servants, Wightbaking, Zombie Necronize",,
AI Omniscience,2022-01-19,245735,7679.21875,"Light Dragon @Ignister, The Arrival Cyberse @Ignister, Dark Templar @Ignister, Wind Pegasus @Ignister, Fire Phoenix @Ignister, Dark Infant @Ignister, Linguriboh, A.I. Meet You, Ignister A.I.Land, A.I.'s Show",,
Roused from Destruction,2022-01-19,247660,6191.5,"Fire King High Avatar Garunix, Unchained Abomination, Nephthys, the Sacred Flame, Onslaught of the Fire Kings, Abominable Unchained Soul, Cerulean Sacred Phoenix of Nephthys, Unchained Soul of Disaster, Fire King Avatar Yaksha, Conductor of Nephthys, Unchained Soul of Anguish, Unchained Soul of Rage, Circle of the Fire Kings",,
Insect Metamorphosis,2022-01-19,251163,6125.926829268293,"Inzektor Exa-Beetle, Digital Bug Registrider, Inzektor Dragonfly, Cocoon of Ultra Evolution, Battlewasp - Ballista the Armageddon, Battlewasp - Hama the Conquering Bow, Metamorphosed Insect Queen, Inzektor Giga-Mantis, Inzektor Hornet, Seraphim Papillion, Inzektor Picofalena, Zektrike Kou-ou, Inzektor Sword - Zektkaliber",,
Blazing Warriors,2022-01-19,251649,5592.2,"Number C105: Battlin' Boxer Comet Cestus, Heroic Champion - Claivesolish, Heroic Champion - Excalibur, Heroic Call, Heroic Envoy, Rank-Up-Magic - The Seventh One, Heroic Challenger - Morning Star, Battlin' Boxer Lead Yoke, Heroic Challenger - Assault Halberd, Heroic Challenger - Thousand Blades, Heroic Champion - Gandiva, Heroic Champion - Kusanagi, Number 105: Battlin' Boxer Star Cestus, Number 79: Battlin' Boxer Nova Kaiser, Stoic Challenge",,
Captivating Curtain Call,2022-01-19,252275,6306.875,"Performapal Sky Magician, Performapal Sleight Hand Magician, Performapal Pendulum Sorcerer, Performapal Gatlinghoul, Performapal Odd-Eyes Metal Claw, Performapal King Bear, Performapal Skullcrobat Joker, Performapal Longphone Bull, Performapal Kuribohble, Performapal Dramatic Theater",,
Champions of Salvation,2022-01-19,252567,5612.6,"Constellar Ptolemy M7, Constellar Pleiades, Stellarknight Constellar Diamond, Tellarknight Constellar Caduceus, Stellarknight Triverr, Tellarknight Ptolemaeus, Constellar Tellarknights, Tellarknight Lyran, Constellar Caduceus, Constellar Omega, Constellar Sombre, Darktellarknight Batlamyus, Satellarknight Deneb, Stellarknight Delteros, Satellarknight Skybridge, Stellarnova Alpha",,
Counterswing Mages,2022-01-19,252931,6323.275,"Supreme King Z-ARC, Odd-Eyes Pendulum Dragon, Astrograph Sorcerer, Performapal Celestial Magician, Timestar Magician, Rune-Eyes Pendulum Dragon, Chronograph Sorcerer, Black Fang Magician, Double Iris Magician, Wisdom-Eye Magician, Purple Poison Magician, White Wing Magician, Duelist Alliance, Pendulum Call",,
Number Recall,2022-01-19,253813,6508.025641025641,"Number iC1000: Numerounius Numerounia, Number C1000: Numerounius, Astral Kuriboh, Number 100: Numeron Dragon, Numbers Eveil, Numeron Network, Number 99: Utopic Dragon, Number 68: Sanaphond the Sky Prison, Number 11: Big Eye, Number 41: Bagooska the Terribly Tired Tapir, Number 60: Dugares the Timeless, Number C1: Numeron Chaos Gate Sunya, Numeron Wall, Rank-Up-Magic Astral Force",,
Tournament Athletes,2022-01-19,254055,6866.351351351352,"U.A. Player Manager, U.A. Playmaker, F.A. Dawn Dragster, F.A. Shining Star GT, F.A. Motorhome Transport, F.A. Dark Dragster, U.A. Libero Spiker, U.A. Midfielder, F.A. Auto Navigator, U.A. Hyper Stadium, U.A. Locker Room",,
Miraculous Advent,2022-01-19,255169,6379.225,"Herald of Ultimateness, Demise, Supreme King of Armageddon, Ruin, Supreme Queen of Oblivion, Sauravis, the Ancient and Ascended, Diviner of the Herald, Crealtar, the Impcantation Originator, Megalith Aratron, Impcantation Chalislime, Herald of Perfection, Saffira, Queen of Dragons, Herald of the Arc Light, Advanced Ritual Art, Pre-Preparation of Rites, Preparation of Rites",,
Champions of Hope,2022-01-19,255781,6394.525,"Number 99: Utopia Dragonar, Number S39: Utopia the Lightning, Ultimate Dragonic Utopia Ray, Number 39: Utopia, Number F0: Utopic Draco Future, Zexal Construction, ZW - Dragonic Halberd, Number 39: Utopia Double, ZS - Utopic Sage, Number F0: Utopic Future, Number F0: Utopic Future Slash, Hyper Rank-Up-Magic Utopiforce, Rank-Up-Magic Zexal Force, Xyz Change Tactics, Halfway to Forever",,
Invulnerable Iron Wings,2022-01-19,256151,6403.775,"Raidraptor - Final Fortress Falcon, Raidraptor - Ultimate Falcon, Raidraptor - Arsenal Falcon, Raidraptor - Revolution Falcon - Air Raid, Raidraptor - Wise Strix, Raidraptor - Satellite Cannon Falcon, Raidraptor - Revolution Falcon, Raidraptor - Stranger Falcon, Raider's Knight, Raidraptor - Force Strix, Raidraptor - Tribute Lanius, Phantom Knights' Rank-Up-Magic Force, Raidraptor - Call, Raidraptor's Phantom Knights Claw",,
Warp-Speed Toys,2022-01-19,256446,6411.15,"Crystal Wing Synchro Dragon, Clear Wing Fast Dragon, Clear Wing Synchro Dragon, Hi-Speedroid Chanbara, Hi-Speedroid Kitedrake, Hi-Speedroid Hagoita, Hi-Speedroid Puzzle, Speedroid CarTurbo, Speedroid Terrortop, Hi-Speedroid Rubber Band Shooter, Speed Recovery, Speedlift",,
Blooming in Adversity,2022-01-19,258161,6454.025,"Teardrop the Rikka Queen, Aromaseraphy Sweet Marjoram, Rikka Queen Strenna, Aromaseraphy Jasmine, Tytannial, Princess of Camellias, Mudan the Rikka Fairy, Aromaseraphy Rosemary, Staysailor Romarin, Lonefire Blossom, Aromage Jasmine, Aroma Gardening, Rikka Glamour",,
Draconic Resplendence,2022-01-19,258772,6469.3,"Odd-Eyes Revolution Dragon, All-Eyes Phantom Dragon, Odd-Eyes Arc Pendulum Dragon, Odd-Eyes Pendulum Dragon, Sky Iris, Odd-Eyes Venom Dragon, Odd-Eyes Phantasma Dragon, Rune-Eyes Pendulum Dragon, Odd-Eyes Phantom Dragon, Odd-Eyes Raging Dragon, Performapal Skullcrobat Joker, Odd-Eyes Fusion, Spiral Flame Strike",,
Dragon Spirit,2022-01-19,259052,6476.3,"Chaofeng, Phantom of the Yang Zing, Draco Berserker of the Tenyi, Denglong, First of the Yang Zing, Draco Masters of the Tenyi, Baxia, Brightness of the Yang Zing, Yazi, Evil of the Yang Zing, Jiaotu, Darkness of the Yang Zing, Tenyi Spirit - Sahasrara, Shaman of the Tenyi, Vessel for the Dragon Cycle, Nine Pillars of Yang Zing, Waterfall of Dragon Souls",,
Enchanted Threads of Shade,2022-01-19,260092,6192.666666666667,"Zefraath, El Shaddoll Construct, El Shaddoll Construct, El Shaddoll Apkallone, El Shaddoll Winda, El Shaddoll Winda, Zefra Metaltron, El Shaddoll Shekhinaga, El Shaddoll Grysta, Reeshaddoll Wendi, El Shaddoll Fusion, Oracle of Zefra, Shaddoll Fusion, Zefra Providence, Shaddoll Schism, Zefra Divine Strike",,
Piercing Winds,2022-01-19,260175,6194.642857142857,"Mayosenju Daibak, Mist Valley Apex Avian, Simorgh, Bird of Sovereignty, Simorgh Onslaught, Mayosenju Hitot, Simorgh of Darkness, Simorgh, Lord of the Storm, Dark Simorgh, Simorgh, Bird of Bringing, Divine Wind of Mist Valley, Yosenju Oroshi Channeling, Yosenjus' Secret Move",,
Immortal Royalty,2022-01-19,260238,6347.268292682927,"Eldlich the Golden Lord, Eldlich the Golden Lord, Eldlich the Mad Golden Lord, Vampire Voivode, Dhampir Vampire Sheridan, Crimson Knight Vampire Bram, Vampire Fraulein, Vampire Sucker, Cursed Eldland, Eldlixir of Black Awakening, Eldlixir of Scarlet Sanguine, Golden Land Forever!, Vampire Awakening, Vampire Domination",,
Cosmic Mechanical Entities,2022-01-19,260259,6848.921052631579,"Knightmare Gryphon, Knightmare Unicorn, Knightmare Unicorn, Mekk-Knight Spectrum Supreme, X-Krawler Qualiark, Mekk-Knight Purple Nightfall, Mekk-Knight Blue Sky, Knightmare Corruptor Iblee, Knightmare Cerberus, Knightmare Phoenix, Mekk-Knight of the Morning Star, X-Krawler Neurogos, X-Krawler Synaphysis",,
Dreadnought Advance,2022-01-19,262163,6554.075,"Superdreadnought Rail Cannon Juggernaut Liebe, Number 81: Superdreadnought Rail Cannon Super Dora, Superdreadnought Rail Cannon Gustav Max, Infinitrack Fortress Megaclops, Night Express Knight, Infinitrack Earth Slicer, Infinitrack River Stormer, Flying Pegasus Railroad Stampede, Number 27: Dreadnought Dreadnoid, Revolving Switchyard, Urgent Schedule, Barrage Blast",,
Legends of Old,2022-01-19,262747,7298.527777777777,"Ancient Warriors - Rebellious Lu Feng, Fairy Tail - Luna, Fairy Tail - Snow, Ancient Warriors Oath - Double Dragon Lords, Golden Castle of Stromberg, Ancient Warriors - Ambitious Cao De, Ancient Warriors - Masterful Sun Mou, Ancient Warriors - Virtuous Liu Xuan, Fairy Tail - Rella, Fairy Tail - Rochka, Fairy Tail - Sleeper, Glife the Phantom Bird, Iron Knight",,
Forest Friends,2022-01-19,263864,5863.644444444444,"Rescue Cat, Rescue Rabbit, Joyous Melffys, Melffy of the Forest, Green Baboon, Defender of the Forest, Aloof Lupine, Diamond Dire Wolf, Kittytail, Mystical Beast of the Forest, Melffy Wally, Kalantosa, Mystical Beast of the Forest, Melffy Mommy, Valerifawn, Mystical Beast of the Forest, Melffy Staring Contest, Ayers Rock Sunrise, Closed Forest",,
Natural Selection,2022-01-19,264221,6605.525,"Crimson Nova Trinity the Dark Cubic Lord, Crimson Nova the Dark Cubic Lord, Predaplant Chimerafflesia, Predaplant Verte Anaconda, Greedy Venom Fusion Dragon, Predaplant Triphyoverutum, Predaplant Dragostapelia, Starving Venom Fusion Dragon, Duza the Meteor Cubic Vessel, Predaplant Ophrys Scorpio, Cubic Dharma, Cubic Karma",,
Guided by the Noble Blade,2022-01-19,265779,6644.475,"Infernoble Knight Emperor Charles, Ignoble Knight of High Laundsallyn, Sacred Noble Knight of King Artorigus, Sacred Noble Knight of King Custennin, Isolde, Two Tales of the Noble Knights, Infernoble Knight Captain Oliver, Artorigus, King of the Noble Knights, Infernoble Knight Ogier, Noble Knight Borz, Noble Knight Drystan, Noble Knight Medraut, Morgan, the Enchantress of Avalon, Infernoble Knight - Renaud, Heritage of the Chalice",,
Fires of This World and The Next,2022-01-19,268172,6704.3,"Shiranui Sunsaga, Yoko, the Graceful Mayakashi, Yuki-Onna, the Absolute Zero Mayakashi, Shiranui Skillsaga Supremacy, Gashadokuro, the Skeletal Mayakashi, Gozuki, Mezuki, Shutendoji, Dakki, the Graceful Mayakashi, Hajun, the Winged Mayakashi, Yuki-Onna, the Ice Mayakashi, Mayakashi Return",,
Those who Stand Against Kings,2022-01-19,270275,6592.073170731707,"Crystron Quariongandrax, Zoodiac Drident, Heavymetalfoes Electrumite, Zoodiac Barrage, Metalfoes Vanisher, Crystron Phoenix, Parametalfoes Azortless, Crystron Sulfefnir, Zoodiac Ratpier, Zoodiac Thoroughblade, Crystron Citree, Fullmetalfoes Alkahest, Metalfoes Fusion",,
Mother Nature's Snare,2022-01-19,274051,6090.022222222222,"Traptrix Pinguicula, Traptrix Allomerus, Traptrix Rafflesia, Traptrix Atypus, Traptrix Cularia, Traptrix Sera, Traptantalizing Tune, Trap Tracks, Traptrix Pudica, Traptrix Genlisea, Traptrix Myrmeleo, Traptrix Vesiculo, Traptrip Garden, Boogie Trap, Banishing Trap Hole, Terrifying Trap Hole Nightmare, Traptrix Holeutea, Chain Hole, Gravedigger's Trap Hole, Trap Trick",,
Seedling Soul Fey,2022-01-19,275240,6713.170731707317,"Alsei, the Sylvan High Protector, Sunavalon Dryatrentiay, Sunavalon Melias, Sylvan Dancepione, Sylvan Charity, Orea, the Sylvan High Arbiter, Meliae of the Trees, Sylvan Princessprite, Benghalancer the Resurgent, Sunavalon Dryanome, Sunavalon Daphne, Sunvine Thrasher, Mount Sylvania",,
Primordial Rising,2022-01-19,276086,6902.15,"Triamid Sphinx, Fossil Warrior Skull King, Paleozoic Cambroraster, Fossil Fusion, Fossil Dragon Skullgios, Fossil Machine Skull Convoy, Fossil Warrior Skull Knight, Fossil Dyna Pachycephalo, Doki Doki, Paleozoic Anomalocaris, Paleozoic Opabinia, Time Stream",,
The Darkness Amuses,2022-01-19,279413,6985.325,"Abyss Actor - Evil Heel, Abyss Actor - Superstar, Abyss Actor - Mellow Madonna, Amazement Administrator Arlekino, Abyss Actor - Leading Lady, Abyss Actor - Wild Hope, Amazement Attendant Comica, Abyss Actor - Hyper Director, Abyss Playhouse - Fantastic Theater, Abyss Script - Rise of the Abyss King, Amazing Time Ticket, Amaze Attraction Cyclo-Coaster",,
Sword of the Seventh One,2022-01-19,279958,5832.458333333333,"Number C107: Neo Galaxy-Eyes Tachyon Dragon, Number 107: Galaxy-Eyes Tachyon Dragon, Number C101: Silent Honor DARK, Number 101: Silent Honor ARK, Barian Untopia, Barian's Chaos Draw, Seventh Ascension, Rank-Up-Magic - The Seventh One, CXyz Barian Hope, Number C103: Ragnafinity, Number C106: Giant Red Hand, Number 103: Ragnazero, Number 106: Giant Hand, Thunder Hand, Contract with Don Thousand, Rank-Up-Magic Admiration of the Thousands, Rank-Up-Magic Barian's Force",,
Indomitable Knights,2022-01-19,281007,6690.642857142857,"Odd-Eyes Rebellion Xyz Dragon, Odd-Eyes Rebellion Dragon Overlord, Odd-Eyes Pendulum Dragon, Arc Rebellion Xyz Dragon, Dark Requiem Xyz Dragon, Dark Rebellion Xyz Dragon, The Phantom Knights of Rusty Bardiche, Supreme King Dragon Starving Venom, Raider's Knight, The Phantom Knights of Ancient Cloak, The Phantom Knights of Break Sword, The Phantom Knights of Silent Boots, Phantom Knights' Rank-Up-Magic Force, Raidraptor's Phantom Knights Claw, The Phantom Knights of Shade Brigandine",,
Interdimensional Interlopers,2022-01-19,281613,7040.325,"Archnemeses Protos, Metaphys Executor, Oneiros, the Dream Mirror Erlking, Oneiros, the Dream Mirror Tormentor, Dream Mirror Hypnagogia, Archnemeses Eschatos, Metaphys Horus, Metaphys Ragnarok, Ikelos, the Dream Mirror Mara, Ikelos, the Dream Mirror Sprite, Asymmetaphys, Dream Mirror of Joy, Dream Mirror of Terror",,
Soldiers from the Storm,2022-01-19,283142,7078.55,"Cyberse Clock Dragon, Accesscode Talker, Firewall Dragon, Cynet Mining, Cyberse Quantum Dragon, Lady Debug, Micro Coder, Firewall Dragon Darkfluid, Decode Talker Extended, Excode Talker, Transcode Talker, Code Talker Inverted, Cynet Codec",,
Three-Strike Success,2022-01-19,284797,7119.925,"Dinowrestler Pankratops, Dinowrestler King T Wrextle, Gouki The Great Ogre, Gouki Re-Match, Dinowrestler Chimera T Wrextle, Dinowrestler Giga Spinosavate, Gouki The Giant Ogre, Gouki The Master Ogre, Gouki The Powerload Ogre, Gouki The Blade Ogre, Gouki Thunder Ogre, Gouki Jet Ogre",,
Essence of Flora and Ocean,2022-01-19,286295,7157.375,"Trickstar Candina, Trickstar Holly Angel, Trickstar Light Stage, Trickstar Reincarnation, Trickstar Corobane, Marincess Blue Tang, Marincess Pascalus, Trickstar Lycoris, Marincess Great Bubble Reef, Marincess Wonder Heart, Trickstar Foxglove Witch, Marincess Coral Anemone",,
Star-Studded Futures,2022-01-19,287045,7176.125,"Dingirsu, the Orcust of the Evening Star, Girsu, the Orcust Mekk-Knight, Mekk-Knight Crusadia Avramax, World Gears of Theurlogical Demiurgy, Avida, Rebuilder of Worlds, Crusadia Equimax, Longirsu, the Orcust Orchestrator, Galatea, the Orcust Automaton, Lib the World Key Blademaster, Crusadia Magius, World Legacy Monstrosity, Orcust Crescendo",,
Rulers of Darkness,2022-01-19,288335,5339.537037037037,"Grapha, Dragon Overlord of Dark World, Reign-Beaux, Overking of Dark World, Darkest Diabolos, Lord of the Lair, Grapha, Dragon Lord of Dark World, Lilith, Lady of Lament, The Gates of Dark World, Clorless, Chaos King of Dark World, Genta, Gateman of Dark World, Ahrima, the Wicked Warden, Snoww, Unlight of Dark World, Alice, Lady of Lament, Loris, Lady of Lament, Dark Corridor, Dark World Archives, Dark World Dealings, Lair of Darkness, Dark World Punishment, Deck Devastation Virus, Eradicator Epidemic Virus, Full Force Virus, Grinning Grave Virus",,
Blazing Fortitude,2022-01-19,290304,7257.6,"Salamangreat Pyro Phoenix, Salamangreat Heatleo, Salamangreat Sunlight Wolf, Salamangreat Almiraj, Salamangreat Violet Chimera, Salamangreat Blaze Dragon, Salamangreat Gazelle, Salamangreat Miragestallio, Salamangreat Spinny, Salamangreat Balelynx, Salamangreat Circle, Salamangreat Sanctuary, Salamangreat Roar",,
Beloved Dolls,2022-01-19,292262,6353.521739130435,"Number 22: Zombiestein, Madolche Queen Tiarafraise, Madolche Puddingcess Chocolat-a-la-Mode, Madolche Queen Tiaramisu, Madolche Teacher Glassouffle, Toy Box, Madolche Puddingcess, Toy Soldier, Toy Tank, Madolche Anjelly, Madolche Magileine, Madolche Messengelato, Madolche Petingcessoeur, Princess Cologne, Madolche Hootcake, Madolche Mini Meowcaroons, Doll Happiness",,
Dragon Luster,2022-01-19,293636,7340.9,"Dragonmaid Sheou, House Dragonmaid, Chaos Dragon Levianeer, Starry Night, Starry Dragon, Fantastical Dragon Phantazmay, Chamber Dragonmaid, Keeper of Dragon Magic, Starry Knight Rayel, Kitchen Dragonmaid, Dragonmaid Hospitality, Return of the Dragon Lords, Starry Knight Balefire",,
